DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
1.01.2021;1;1;1;1;1;114
1.01.2021;1;1;2;0;0;114
1.01.2021;1;1;3;0;0;114
1.01.2021;1;1;4;0;0;114
1.01.2021;1;1;5;0;0;114
1.01.2021;1;1;6;0;0;114
1.01.2021;1;1;7;0;0;114
1.01.2021;1;1;8;0;0;114
1.01.2021;1;1;9;1;1;114
1.01.2021;1;1;10;0;0;114
1.01.2021;1;1;12;0;0;114
1.01.2021;1;1;13;0;0;114
1.01.2021;1;1;14;0;0;114
1.01.2021;1;1;44;1;3;114
1.01.2021;1;1;45;1;6;114
1.01.2021;1;1;46;0;0;114
1.01.2021;1;1;48;1;2;114
1.01.2021;1;1;49;0;0;114
1.01.2021;1;1;50;0;0;114
1.01.2021;1;1;51;0;0;114
1.01.2021;1;1;52;0;0;114
1.01.2021;1;1;53;0;0;114
1.01.2021;1;1;54;0;0;114
1.01.2021;1;1;55;0;0;114
1.01.2021;1;1;56;0;0;114
1.01.2021;1;1;57;0;0;114
1.01.2021;1;1;58;0;0;114
1.01.2021;1;1;59;0;0;114
1.01.2021;1;1;60;0;0;114
1.01.2021;1;1;61;0;0;114
1.01.2021;1;1;77;0;0;114
1.01.2021;1;1;78;0;0;114
1.01.2021;1;1;79;0;0;114
1.01.2021;1;1;80;0;0;114
1.01.2021;1;1;81;0;0;114
1.01.2021;1;1;82;0;0;114
1.01.2021;1;1;90;1;32;114
1.01.2021;1;1;91;1;70;114
1.01.2021;1;1;92;1;15;114
1.01.2021;1;1;93;1;22;114
1.01.2021;1;1;94;1;11;114
1.01.2021;1;1;95;1;3;114
1.01.2021;1;1;96;1;1232;114
1.01.2021;1;1;97;1;2;114
1.01.2021;1;1;98;0;0;114
1.01.2021;1;1;99;1;20;114
1.01.2021;1;1;100;0;0;114
1.01.2021;1;1;101;1;3;114
1.01.2021;1;1;102;0;0;114
1.01.2021;1;1;103;1;1;114
1.01.2021;1;1;104;0;0;114
1.01.2021;1;1;105;0;0;114
1.01.2021;1;1;106;0;0;114
1.01.2021;1;1;107;0;0;114
1.01.2021;1;1;108;0;0;114
1.01.2021;1;1;109;0;0;114
1.01.2021;1;1;110;1;1;114
1.01.2021;1;1;111;1;12;114
1.01.2021;1;1;112;1;29;114
1.01.2021;1;1;113;1;8;114
1.01.2021;1;1;114;1;26;114
1.01.2021;1;1;115;1;9;114
1.01.2021;1;1;116;1;41;114
1.01.2021;1;1;117;1;1;114
1.01.2021;1;1;118;0;0;114
1.01.2021;1;1;119;1;14;114
1.01.2021;1;1;120;1;6;114
1.01.2021;1;1;123;1;1;114
1.01.2021;1;1;124;1;1;114
1.01.2021;1;1;125;1;1;114
1.01.2021;1;1;126;1;1;114
1.01.2021;1;1;127;1;1;114
1.01.2021;1;1;128;0;0;114
1.01.2021;1;1;129;1;31;114
1.01.2021;1;1;130;0;0;114
1.01.2021;1;1;131;0;0;114
1.01.2021;1;1;132;0;0;114
1.01.2021;1;1;133;0;0;114
1.01.2021;1;1;134;0;0;114
1.01.2021;1;1;135;0;0;114
1.01.2021;1;1;136;0;0;114
1.01.2021;1;1;137;1;1;114
1.01.2021;1;1;138;0;0;114
1.01.2021;1;1;139;0;0;114
1.01.2021;1;1;140;1;1;114
1.01.2021;1;1;141;0;0;114
1.01.2021;1;1;142;0;0;114
1.01.2021;1;1;143;0;0;114
1.01.2021;1;1;144;1;1;114
1.01.2021;1;1;145;0;0;114
1.01.2021;1;1;146;0;0;114
1.01.2021;1;1;147;0;0;114
1.01.2021;1;1;148;0;0;114
1.01.2021;1;1;149;0;0;114
1.01.2021;1;1;150;0;0;114
1.01.2021;1;1;151;0;0;114
