DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2020;1;1;1;0;0;89
31.12.2020;1;1;2;0;0;89
31.12.2020;1;1;3;0;0;89
31.12.2020;1;1;4;0;0;89
31.12.2020;1;1;5;0;0;89
31.12.2020;1;1;6;0;0;89
31.12.2020;1;1;7;0;0;89
31.12.2020;1;1;8;0;0;89
31.12.2020;1;1;9;0;0;89
31.12.2020;1;1;10;0;0;89
31.12.2020;1;1;11;1;8;89
31.12.2020;1;1;12;1;7;89
31.12.2020;1;1;13;1;7;89
31.12.2020;1;1;14;0;0;89
31.12.2020;1;1;15;1;198;89
31.12.2020;1;1;16;1;7;89
31.12.2020;1;1;17;1;1;89
31.12.2020;1;1;18;1;37;89
31.12.2020;1;1;19;1;13;89
31.12.2020;1;1;20;1;9;89
31.12.2020;1;1;21;1;2;89
31.12.2020;1;1;22;1;7;89
31.12.2020;1;1;23;1;2;89
31.12.2020;1;1;24;0;0;89
31.12.2020;1;1;25;0;0;89
31.12.2020;1;1;26;1;12;89
31.12.2020;1;1;27;1;14;89
31.12.2020;1;1;28;0;0;89
31.12.2020;1;1;29;1;5;89
31.12.2020;1;1;30;1;4;89
31.12.2020;1;1;31;1;1;89
31.12.2020;1;1;32;1;80;89
31.12.2020;1;1;33;0;0;89
31.12.2020;1;1;34;0;0;89
31.12.2020;1;1;35;1;3;89
31.12.2020;1;1;36;0;0;89
31.12.2020;1;1;37;0;0;89
31.12.2020;1;1;38;0;0;89
31.12.2020;1;1;39;1;3;89
31.12.2020;1;1;40;1;1;89
31.12.2020;1;1;41;1;2;89
31.12.2020;1;1;42;1;3;89
31.12.2020;1;1;44;1;2;89
31.12.2020;1;1;45;1;5;89
31.12.2020;1;1;46;1;2;89
31.12.2020;1;1;48;1;24;89
31.12.2020;1;1;49;1;2;89
31.12.2020;1;1;50;1;2;89
31.12.2020;1;1;51;0;0;89
31.12.2020;1;1;52;1;4;89
31.12.2020;1;1;53;1;3;89
31.12.2020;1;1;54;1;2;89
31.12.2020;1;1;55;1;22;89
31.12.2020;1;1;56;1;4;89
31.12.2020;1;1;57;1;4;89
31.12.2020;1;1;58;1;3;89
31.12.2020;1;1;59;0;0;89
31.12.2020;1;1;60;1;4;89
31.12.2020;1;1;61;1;2;89
31.12.2020;1;1;62;1;17;89
31.12.2020;1;1;63;0;0;89
31.12.2020;1;1;64;0;0;89
31.12.2020;1;1;65;1;2;89
31.12.2020;1;1;66;0;0;89
31.12.2020;1;1;67;1;6;89
31.12.2020;1;1;68;0;0;89
31.12.2020;1;1;69;1;21;89
31.12.2020;1;1;70;1;1;89
31.12.2020;1;1;71;1;1;89
31.12.2020;1;1;72;1;3;89
31.12.2020;1;1;73;1;1;89
31.12.2020;1;1;74;1;2;89
31.12.2020;1;1;75;1;1;89
31.12.2020;1;1;76;1;1;89
31.12.2020;1;1;77;1;11;89
31.12.2020;1;1;78;0;0;89
31.12.2020;1;1;79;1;2;89
31.12.2020;1;1;80;0;0;89
31.12.2020;1;1;81;1;1;89
31.12.2020;1;1;82;0;0;89
31.12.2020;1;1;90;1;28;89
31.12.2020;1;1;91;1;60;89
31.12.2020;1;1;92;1;29;89
31.12.2020;1;1;93;1;44;89
31.12.2020;1;1;94;0;0;89
31.12.2020;1;1;95;0;0;89
31.12.2020;1;1;96;1;939;89
31.12.2020;1;1;97;1;8;89
31.12.2020;1;1;98;0;0;89
31.12.2020;1;1;99;1;32;89
31.12.2020;1;1;100;1;4;89
31.12.2020;1;1;101;1;35;89
31.12.2020;1;1;102;1;4;89
31.12.2020;1;1;103;1;39;89
31.12.2020;1;1;104;1;2;89
31.12.2020;1;1;105;1;3;89
31.12.2020;1;1;106;0;0;89
31.12.2020;1;1;107;0;0;89
31.12.2020;1;1;108;1;2;89
31.12.2020;1;1;109;1;16;89
31.12.2020;1;1;110;1;14;89
31.12.2020;1;1;111;1;11;89
31.12.2020;1;1;112;1;40;89
31.12.2020;1;1;113;1;9;89
31.12.2020;1;1;114;1;42;89
31.12.2020;1;1;115;1;17;89
31.12.2020;1;1;116;1;42;89
31.12.2020;1;1;117;1;2;89
31.12.2020;1;1;118;1;1;89
31.12.2020;1;1;119;1;25;89
31.12.2020;1;1;120;1;6;89
31.12.2020;1;1;121;1;5;89
31.12.2020;1;1;122;0;0;89
31.12.2020;1;1;123;1;11;89
31.12.2020;1;1;124;1;23;89
31.12.2020;1;1;125;1;21;89
31.12.2020;1;1;126;1;27;89
31.12.2020;1;1;127;1;20;89
31.12.2020;1;1;128;1;1;89
31.12.2020;1;1;129;1;301;89
31.12.2020;1;1;130;0;0;89
31.12.2020;1;1;131;1;1;89
31.12.2020;1;1;132;1;2;89
31.12.2020;1;1;133;0;0;89
31.12.2020;1;1;134;0;0;89
31.12.2020;1;1;135;0;0;89
31.12.2020;1;1;136;1;2;89
31.12.2020;1;1;137;1;11;89
31.12.2020;1;1;138;1;1;89
31.12.2020;1;1;139;1;1;89
31.12.2020;1;1;140;1;1;89
31.12.2020;1;1;141;1;9;89
31.12.2020;1;1;142;0;0;89
31.12.2020;1;1;143;0;0;89
31.12.2020;1;1;144;1;7;89
31.12.2020;1;1;145;1;14;89
31.12.2020;1;1;146;1;9;89
31.12.2020;1;1;147;1;9;89
31.12.2020;1;1;148;0;0;89
31.12.2020;1;1;149;0;0;89
31.12.2020;1;1;150;0;0;89
31.12.2020;1;1;151;0;0;89
31.12.2020;1;1;152;1;34;89
31.12.2020;1;1;153;1;1;89
31.12.2020;1;1;154;1;1;89
31.12.2020;1;1;155;1;1;89
31.12.2020;1;1;156;0;0;89
31.12.2020;1;1;157;0;0;89
31.12.2020;1;1;158;0;0;89
31.12.2020;1;1;159;0;0;89
31.12.2020;1;1;160;0;0;89
31.12.2020;1;1;161;0;0;89
31.12.2020;1;1;162;0;0;89
31.12.2020;1;1;163;0;0;89
31.12.2020;1;1;164;0;0;89
31.12.2020;1;1;165;0;0;89
31.12.2020;1;1;166;0;0;89
31.12.2020;1;1;167;1;1;89
