DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2018;1;1;1;1;3;165
31.12.2018;1;1;2;0;0;165
31.12.2018;1;1;3;0;0;165
31.12.2018;1;1;4;0;0;165
31.12.2018;1;1;5;0;0;165
31.12.2018;1;1;6;0;0;165
31.12.2018;1;1;7;0;0;165
31.12.2018;1;1;8;0;0;165
31.12.2018;1;1;9;0;0;165
31.12.2018;1;1;10;0;0;165
31.12.2018;1;1;11;0;0;165
31.12.2018;1;1;12;1;5;165
31.12.2018;1;1;13;0;0;165
31.12.2018;1;1;14;1;2;165
31.12.2018;1;1;15;1;117;165
31.12.2018;1;1;16;1;2;165
31.12.2018;1;1;17;0;0;165
31.12.2018;1;1;18;1;2;165
31.12.2018;1;1;19;1;2;165
31.12.2018;1;1;20;0;0;165
31.12.2018;1;1;21;0;0;165
31.12.2018;1;1;22;0;0;165
31.12.2018;1;1;23;0;0;165
31.12.2018;1;1;24;0;0;165
31.12.2018;1;1;25;0;0;165
31.12.2018;1;1;26;0;0;165
31.12.2018;1;1;27;1;3;165
31.12.2018;1;1;28;1;3;165
31.12.2018;1;1;29;1;1;165
31.12.2018;1;1;30;1;3;165
31.12.2018;1;1;31;1;1;165
31.12.2018;1;1;32;1;34;165
31.12.2018;1;1;33;0;0;165
31.12.2018;1;1;34;0;0;165
31.12.2018;1;1;35;1;3;165
31.12.2018;1;1;36;0;0;165
31.12.2018;1;1;37;0;0;165
31.12.2018;1;1;38;0;0;165
31.12.2018;1;1;39;1;4;165
31.12.2018;1;1;40;1;2;165
31.12.2018;1;1;41;1;7;165
31.12.2018;1;1;42;1;9;165
31.12.2018;1;1;44;1;1;165
31.12.2018;1;1;45;0;0;165
31.12.2018;1;1;46;0;0;165
31.12.2018;1;1;48;1;1;165
31.12.2018;1;1;49;0;0;165
31.12.2018;1;1;50;0;0;165
31.12.2018;1;1;51;0;0;165
31.12.2018;1;1;52;0;0;165
31.12.2018;1;1;53;0;0;165
31.12.2018;1;1;54;0;0;165
31.12.2018;1;1;55;1;4;165
31.12.2018;1;1;56;0;0;165
31.12.2018;1;1;57;0;0;165
31.12.2018;1;1;58;0;0;165
31.12.2018;1;1;59;0;0;165
31.12.2018;1;1;60;0;0;165
31.12.2018;1;1;61;0;0;165
31.12.2018;1;1;62;1;4;165
31.12.2018;1;1;63;1;1;165
31.12.2018;1;1;64;1;1;165
31.12.2018;1;1;65;0;0;165
31.12.2018;1;1;66;0;0;165
31.12.2018;1;1;67;0;0;165
31.12.2018;1;1;68;0;0;165
31.12.2018;1;1;77;1;2;165
31.12.2018;1;1;78;0;0;165
31.12.2018;1;1;79;0;0;165
31.12.2018;1;1;80;0;0;165
31.12.2018;1;1;81;0;0;165
31.12.2018;1;1;82;0;0;165
31.12.2018;1;1;83;1;1;165
31.12.2018;1;1;84;0;0;165
31.12.2018;1;1;85;0;0;165
31.12.2018;1;1;86;0;0;165
31.12.2018;1;1;87;0;0;165
31.12.2018;1;1;88;0;0;165
31.12.2018;1;1;90;1;1;165
31.12.2018;1;1;91;1;1;165
31.12.2018;1;1;92;1;1;165
31.12.2018;1;1;93;0;0;165
31.12.2018;1;1;94;0;0;165
31.12.2018;1;1;95;0;0;165
31.12.2018;1;1;96;1;77;165
31.12.2018;1;1;97;0;0;165
31.12.2018;1;1;98;0;0;165
31.12.2018;1;1;99;0;0;165
31.12.2018;1;1;100;0;0;165
31.12.2018;1;1;101;1;11;165
31.12.2018;1;1;102;0;0;165
31.12.2018;1;1;103;1;8;165
31.12.2018;1;1;104;1;1;165
31.12.2018;1;1;105;0;0;165
31.12.2018;1;1;106;0;0;165
31.12.2018;1;1;107;0;0;165
31.12.2018;1;1;108;0;0;165
31.12.2018;1;1;109;1;3;165
31.12.2018;1;1;110;1;2;165
31.12.2018;1;1;111;0;0;165
31.12.2018;1;1;112;0;0;165
31.12.2018;1;1;113;0;0;165
31.12.2018;1;1;114;0;0;165
31.12.2018;1;1;115;0;0;165
31.12.2018;1;1;116;1;1;165
31.12.2018;1;1;117;0;0;165
31.12.2018;1;1;118;0;0;165
31.12.2018;1;1;119;0;0;165
31.12.2018;1;1;120;0;0;165
31.12.2018;1;1;121;1;7;165
31.12.2018;1;1;122;0;0;165
31.12.2018;1;1;123;1;1;165
31.12.2018;1;1;124;0;0;165
31.12.2018;1;1;125;0;0;165
31.12.2018;1;1;126;0;0;165
31.12.2018;1;1;127;0;0;165
31.12.2018;1;1;128;0;0;165
31.12.2018;1;1;129;1;22;165
31.12.2018;1;1;130;0;0;165
31.12.2018;1;1;131;0;0;165
31.12.2018;1;1;132;0;0;165
31.12.2018;1;1;133;0;0;165
31.12.2018;1;1;134;0;0;165
