FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.23.01.01.01;R0010;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0010;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0010;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0010;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0010;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0030;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0030;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0030;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0030;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0030;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0040;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0040;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0040;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0040;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0040;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0050;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0050;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0050;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0050;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0050;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0070;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0070;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0070;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0070;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0070;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0090;C0010;0.0;93;1;11.09.2015;121;
S.23.01.01.01;R0090;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0090;C0030;0.0;93;1;11.09.2015;121;
S.23.01.01.01;R0090;C0040;0.0;93;1;11.09.2015;121;
S.23.01.01.01;R0090;C0050;0.0;93;1;11.09.2015;121;
S.23.01.01.01;R0110;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0110;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0110;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0110;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0110;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0130;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0130;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0130;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0130;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0130;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0140;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0140;C0020;;93;1;11.09.2015;121;
S.23.01.01.01;R0140;C0030;;93;1;11.09.2015;121;
S.23.01.01.01;R0140;C0040;;93;1;11.09.2015;121;
S.23.01.01.01;R0140;C0050;;93;1;11.09.2015;121;
S.23.01.01.01;R0160;C0010;;93;1;11.09.2015;121;
S.23.01.01.01;R0160;C0020;;93;1;11.09.2015;121;
