FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.17.01.02.01;R0010;C0020;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0030;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0010;C0180;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0020;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0030;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0050;C0180;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0020;714.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0030;181.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0060;C0180;895.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0020;22.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0030;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0140;C0180;22.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0020;692.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0030;181.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0150;C0180;873.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0020;4.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0030;41.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0080;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0090;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0100;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0110;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0120;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0130;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0140;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0150;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0160;;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0170;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0160;C0180;45.0;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0020;3.0;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0030;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0040;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0050;0.0;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0060;;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0070;;57;1;31.12.2021;108;
S.17.01.02.01;R0240;C0080;;57;1;31.12.2021;108;
