FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ;KOD ZAKLADU;WERSJA SFCR;DATA SFCR;ID_TAB;TRZECI WYMIAR KRAJ
S.05.01.02.01;R0210;C0060;584.0;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0070;27639.0;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0080;2480.0;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0090;460.0;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0210;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0010;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0020;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0060;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0070;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0080;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0090;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0220;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0230;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0010;41598.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0020;40799.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0060;336.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0070;4531.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0080;118.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0090;12.0;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0240;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0010;13326.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0020;10624.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0060;248.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0070;23108.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0080;2363.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0090;448.0;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0300;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0010;1269.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0020;1460.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0060;296.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0070;8966.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0080;468.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0090;176.0;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0310;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0010;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0020;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0030;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0040;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0050;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0060;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0070;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0080;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0090;0.0;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0320;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0330;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0340;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0400;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0410;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0030;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0040;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0050;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0060;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0070;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0080;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0090;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0100;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0110;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0120;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0130;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0140;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0150;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0160;;27;1;11.09.2015;124;
S.05.01.02.01;R0420;C0200;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0010;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0020;;27;1;11.09.2015;124;
S.05.01.02.01;R0430;C0030;;27;1;11.09.2015;124;
