DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2018;1;1;1;0;0;2
31.12.2018;1;1;2;0;0;2
31.12.2018;1;1;3;0;0;2
31.12.2018;1;1;4;0;0;2
31.12.2018;1;1;5;0;0;2
31.12.2018;1;1;6;0;0;2
31.12.2018;1;1;7;0;0;2
31.12.2018;1;1;8;0;0;2
31.12.2018;1;1;9;0;0;2
31.12.2018;1;1;10;0;0;2
31.12.2018;1;1;11;1;8;2
31.12.2018;1;1;12;1;7;2
31.12.2018;1;1;13;1;6;2
31.12.2018;1;1;14;0;0;2
31.12.2018;1;1;15;1;122;2
31.12.2018;1;1;16;1;6;2
31.12.2018;1;1;17;0;0;2
31.12.2018;1;1;18;1;14;2
31.12.2018;1;1;19;0;0;2
31.12.2018;1;1;20;1;1;2
31.12.2018;1;1;21;0;0;2
31.12.2018;1;1;22;1;10;2
31.12.2018;1;1;23;1;3;2
31.12.2018;1;1;24;0;0;2
31.12.2018;1;1;25;0;0;2
31.12.2018;1;1;26;0;0;2
31.12.2018;1;1;27;1;1;2
31.12.2018;1;1;28;1;1;2
31.12.2018;1;1;29;1;4;2
31.12.2018;1;1;30;1;20;2
31.12.2018;1;1;31;1;2;2
31.12.2018;1;1;32;1;375;2
31.12.2018;1;1;33;0;0;2
31.12.2018;1;1;34;0;0;2
31.12.2018;1;1;35;1;11;2
31.12.2018;1;1;36;0;0;2
31.12.2018;1;1;37;1;2;2
31.12.2018;1;1;38;0;0;2
31.12.2018;1;1;39;1;3;2
31.12.2018;1;1;40;1;1;2
31.12.2018;1;1;41;1;7;2
31.12.2018;1;1;42;1;1;2
31.12.2018;1;1;44;1;5;2
31.12.2018;1;1;45;1;7;2
31.12.2018;1;1;46;0;0;2
31.12.2018;1;1;48;1;19;2
31.12.2018;1;1;49;1;1;2
31.12.2018;1;1;50;1;1;2
31.12.2018;1;1;51;0;0;2
