FORMULARZ;WIERSZ;KOLUMNA;WARTOŚĆ
S.12.01.02.01;R0200;C0070;
S.12.01.02.01;R0200;C0080;
S.12.01.02.01;R0200;C0090;140779.0
S.12.01.02.01;R0200;C0100;0.0
S.12.01.02.01;R0200;C0150;140779.0
S.12.01.02.01;R0200;C0160;0.0
S.12.01.02.01;R0200;C0170;
S.12.01.02.01;R0200;C0180;
S.12.01.02.01;R0200;C0190;0.0
S.12.01.02.01;R0200;C0200;0.0
S.12.01.02.01;R0200;C0210;0.0
S.17.01.02.01;R0010;C0020;0.0
S.17.01.02.01;R0010;C0030;0.0
S.17.01.02.01;R0010;C0040;0.0
S.17.01.02.01;R0010;C0050;0.0
S.17.01.02.01;R0010;C0060;0.0
S.17.01.02.01;R0010;C0070;0.0
S.17.01.02.01;R0010;C0080;0.0
S.17.01.02.01;R0010;C0090;0.0
S.17.01.02.01;R0010;C0100;0.0
S.17.01.02.01;R0010;C0110;
S.17.01.02.01;R0010;C0120;
S.17.01.02.01;R0010;C0130;
S.17.01.02.01;R0010;C0140;
S.17.01.02.01;R0010;C0150;
S.17.01.02.01;R0010;C0160;
S.17.01.02.01;R0010;C0170;
S.17.01.02.01;R0010;C0180;
S.17.01.02.01;R0050;C0020;0.0
S.17.01.02.01;R0050;C0030;0.0
S.17.01.02.01;R0050;C0040;0.0
S.17.01.02.01;R0050;C0050;0.0
S.17.01.02.01;R0050;C0060;0.0
S.17.01.02.01;R0050;C0070;0.0
S.17.01.02.01;R0050;C0080;0.0
S.17.01.02.01;R0050;C0090;0.0
S.17.01.02.01;R0050;C0100;0.0
S.17.01.02.01;R0050;C0110;
S.17.01.02.01;R0050;C0120;
S.17.01.02.01;R0050;C0130;
S.17.01.02.01;R0050;C0140;
S.17.01.02.01;R0050;C0150;
S.17.01.02.01;R0050;C0160;
S.17.01.02.01;R0050;C0170;
S.17.01.02.01;R0050;C0180;
S.17.01.02.01;R0060;C0020;898.0
S.17.01.02.01;R0060;C0030;6471.0
S.17.01.02.01;R0060;C0040;0.0
S.17.01.02.01;R0060;C0050;125790.0
S.17.01.02.01;R0060;C0060;257791.0
S.17.01.02.01;R0060;C0070;527.0
S.17.01.02.01;R0060;C0080;87816.0
S.17.01.02.01;R0060;C0090;28596.0
S.17.01.02.01;R0060;C0100;5365.0
S.17.01.02.01;R0060;C0110;
S.17.01.02.01;R0060;C0120;
S.17.01.02.01;R0060;C0130;
S.17.01.02.01;R0060;C0140;
S.17.01.02.01;R0060;C0150;
S.17.01.02.01;R0060;C0160;
S.17.01.02.01;R0060;C0170;
S.17.01.02.01;R0060;C0180;
S.17.01.02.01;R0140;C0020;190.0
S.17.01.02.01;R0140;C0030;104.0
S.17.01.02.01;R0140;C0040;0.0
S.17.01.02.01;R0140;C0050;-869.0
S.17.01.02.01;R0140;C0060;-1758.0
S.17.01.02.01;R0140;C0070;-150.0
S.17.01.02.01;R0140;C0080;-3324.0
S.17.01.02.01;R0140;C0090;-6262.0
S.17.01.02.01;R0140;C0100;1625.0
S.17.01.02.01;R0140;C0110;
S.17.01.02.01;R0140;C0120;
S.17.01.02.01;R0140;C0130;
S.17.01.02.01;R0140;C0140;
S.17.01.02.01;R0140;C0150;
S.17.01.02.01;R0140;C0160;
S.17.01.02.01;R0140;C0170;
S.17.01.02.01;R0140;C0180;
S.17.01.02.01;R0150;C0020;708.0
S.17.01.02.01;R0150;C0030;6367.0
S.17.01.02.01;R0150;C0040;0.0
S.17.01.02.01;R0150;C0050;126658.0
S.17.01.02.01;R0150;C0060;259549.0
S.17.01.02.01;R0150;C0070;677.0
S.17.01.02.01;R0150;C0080;91139.0
S.17.01.02.01;R0150;C0090;34858.0
S.17.01.02.01;R0150;C0100;3739.0
S.17.01.02.01;R0150;C0110;
S.17.01.02.01;R0150;C0120;
S.17.01.02.01;R0150;C0130;
S.17.01.02.01;R0150;C0140;
S.17.01.02.01;R0150;C0150;
S.17.01.02.01;R0150;C0160;
S.17.01.02.01;R0150;C0170;
S.17.01.02.01;R0150;C0180;
S.17.01.02.01;R0160;C0020;17851.0
S.17.01.02.01;R0160;C0030;9771.0
S.17.01.02.01;R0160;C0040;0.0
S.17.01.02.01;R0160;C0050;720284.0
S.17.01.02.01;R0160;C0060;161133.0
S.17.01.02.01;R0160;C0070;20102.0
S.17.01.02.01;R0160;C0080;309826.0
S.17.01.02.01;R0160;C0090;326883.0
S.17.01.02.01;R0160;C0100;14007.0
S.17.01.02.01;R0160;C0110;
S.17.01.02.01;R0160;C0120;
S.17.01.02.01;R0160;C0130;
S.17.01.02.01;R0160;C0140;
S.17.01.02.01;R0160;C0150;
S.17.01.02.01;R0160;C0160;
S.17.01.02.01;R0160;C0170;
S.17.01.02.01;R0160;C0180;
S.17.01.02.01;R0240;C0020;15394.0
S.17.01.02.01;R0240;C0030;1058.0
S.17.01.02.01;R0240;C0040;0.0
S.17.01.02.01;R0240;C0050;51046.0
S.17.01.02.01;R0240;C0060;812.0
S.17.01.02.01;R0240;C0070;11312.0
S.17.01.02.01;R0240;C0080;72626.0
S.17.01.02.01;R0240;C0090;65439.0
S.17.01.02.01;R0240;C0100;5215.0
S.17.01.02.01;R0240;C0110;
S.17.01.02.01;R0240;C0120;
S.17.01.02.01;R0240;C0130;
S.17.01.02.01;R0240;C0140;
S.17.01.02.01;R0240;C0150;
S.17.01.02.01;R0240;C0160;
S.17.01.02.01;R0240;C0170;
S.17.01.02.01;R0240;C0180;
S.17.01.02.01;R0250;C0020;2456.0
S.17.01.02.01;R0250;C0030;8713.0
S.17.01.02.01;R0250;C0040;0.0
S.17.01.02.01;R0250;C0050;669239.0
S.17.01.02.01;R0250;C0060;160321.0
S.17.01.02.01;R0250;C0070;8790.0
S.17.01.02.01;R0250;C0080;237200.0
S.17.01.02.01;R0250;C0090;261444.0
S.17.01.02.01;R0250;C0100;8792.0
S.17.01.02.01;R0250;C0110;
S.17.01.02.01;R0250;C0120;
S.17.01.02.01;R0250;C0130;
S.17.01.02.01;R0250;C0140;
S.17.01.02.01;R0250;C0150;
S.17.01.02.01;R0250;C0160;
S.17.01.02.01;R0250;C0170;
S.17.01.02.01;R0250;C0180;
S.17.01.02.01;R0260;C0020;18749.0
S.17.01.02.01;R0260;C0030;16242.0
S.17.01.02.01;R0260;C0040;0.0
