DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY
31.12.2022;1;1;1;1;4
31.12.2022;1;1;2;1;1
31.12.2022;1;1;3;0;0
31.12.2022;1;1;4;0;0
31.12.2022;1;1;5;0;0
31.12.2022;1;1;6;1;1
31.12.2022;1;1;7;0;0
31.12.2022;1;1;8;0;0
31.12.2022;1;1;9;0;0
31.12.2022;1;1;10;0;0
31.12.2022;1;1;11;1;4
31.12.2022;1;1;12;1;12
31.12.2022;1;1;13;1;3
31.12.2022;1;1;14;0;0
31.12.2022;1;1;15;1;20
31.12.2022;1;1;16;0;0
31.12.2022;1;1;17;0;0
31.12.2022;1;1;18;1;44
31.12.2022;1;1;19;1;28
31.12.2022;1;1;20;1;6
31.12.2022;1;1;21;1;3
31.12.2022;1;1;22;1;8
31.12.2022;1;1;23;1;2
31.12.2022;1;1;24;0;0
31.12.2022;1;1;25;0;0
31.12.2022;1;1;26;1;4
31.12.2022;1;1;27;1;4
31.12.2022;1;1;28;1;11
31.12.2022;1;1;29;1;16
31.12.2022;1;1;30;1;34
31.12.2022;1;1;31;0;0
31.12.2022;1;1;32;1;643
31.12.2022;1;1;33;1;2
31.12.2022;1;1;34;1;5
31.12.2022;1;1;35;1;13
31.12.2022;1;1;36;1;1
31.12.2022;1;1;37;1;1
31.12.2022;1;1;38;0;0
31.12.2022;1;1;39;1;1
31.12.2022;1;1;40;0;0
31.12.2022;1;1;41;1;1
31.12.2022;1;1;42;0;0
31.12.2022;1;1;43;1;2
31.12.2022;1;1;44;1;12
31.12.2022;1;1;45;1;12
31.12.2022;1;1;46;0;0
31.12.2022;1;1;48;1;33
31.12.2022;1;1;49;1;10
31.12.2022;1;1;50;1;8
31.12.2022;1;1;51;0;0
31.12.2022;1;1;52;1;4
31.12.2022;1;1;53;1;3
31.12.2022;1;1;54;0;0
31.12.2022;1;1;55;1;7
31.12.2022;1;1;56;1;8
31.12.2022;1;1;57;1;5
31.12.2022;1;1;58;1;8
31.12.2022;1;1;59;1;1
31.12.2022;1;1;60;1;9
31.12.2022;1;1;61;1;4
31.12.2022;1;1;62;1;26
31.12.2022;1;1;63;1;8
31.12.2022;1;1;64;1;6
31.12.2022;1;1;65;1;2
31.12.2022;1;1;66;1;2
31.12.2022;1;1;67;1;2
31.12.2022;1;1;68;0;0
31.12.2022;1;1;69;1;9
31.12.2022;1;1;70;1;4
31.12.2022;1;1;71;1;2
31.12.2022;1;1;72;0;0
31.12.2022;1;1;73;0;0
31.12.2022;1;1;74;0;0
31.12.2022;1;1;75;0;0
31.12.2022;1;1;76;0;0
31.12.2022;1;1;77;1;14
